Date,Adj Close
2014/9/17,457.334015
2014/9/18,424.440002
2014/9/19,394.79599
2014/9/20,408.903992
2014/9/21,398.821014
2014/9/22,402.152008
2014/9/23,435.790985
2014/9/24,423.204987
2014/9/25,411.574005
2014/9/26,404.424988
2014/9/27,399.519989
2014/9/28,377.181
2014/9/29,375.46701
2014/9/30,386.944
2014/10/1,383.61499
2014/10/2,375.071991
2014/10/3,359.511993
2014/10/4,328.865997
2014/10/5,320.51001
2014/10/6,330.07901
2014/10/7,336.187012
2014/10/8,352.940002
2014/10/9,365.026001
2014/10/10,361.562012
2014/10/11,362.299011
2014/10/12,378.549011
2014/10/13,390.414001
2014/10/14,400.869995
2014/10/15,394.77301
2014/10/16,382.556
2014/10/17,383.757996
2014/10/18,391.441986
2014/10/19,389.54599
2014/10/20,382.845001
2014/10/21,386.475006
2014/10/22,383.15799
2014/10/23,358.416992
2014/10/24,358.345001
2014/10/25,347.270996
2014/10/26,354.70401
2014/10/27,352.989014
2014/10/28,357.618011
2014/10/29,335.591003
2014/10/30,345.304993
2014/10/31,338.321014
2014/11/1,325.748993
2014/11/2,325.891998
2014/11/3,327.553986
2014/11/4,330.492004
2014/11/5,339.485992
2014/11/6,349.290009
2014/11/7,342.415009
2014/11/8,345.488007
2014/11/9,363.264008
2014/11/10,366.924011
2014/11/11,367.695007
2014/11/12,423.561005
2014/11/13,420.734985
2014/11/14,397.817993
2014/11/15,376.132996
2014/11/16,387.881989
2014/11/17,387.40799
2014/11/18,375.197998
2014/11/19,380.554993
2014/11/20,357.839996
2014/11/21,350.847992
2014/11/22,352.920013
2014/11/23,367.572998
2014/11/24,376.901001
2014/11/25,375.347992
2014/11/26,368.369995
2014/11/27,369.670013
2014/11/28,376.446991
2014/11/29,375.490997
2014/11/30,378.046997
2014/12/1,379.244995
2014/12/2,381.315002
2014/12/3,375.01001
2014/12/4,369.604004
2014/12/5,376.854004
2014/12/6,374.785004
2014/12/7,375.095001
2014/12/8,361.908997
2014/12/9,352.218994
2014/12/10,346.36499
2014/12/11,350.506012
2014/12/12,352.541992
2014/12/13,347.376007
2014/12/14,351.631989
2014/12/15,345.345001
2014/12/16,327.062012
2014/12/17,319.776001
2014/12/18,311.395996
2014/12/19,317.842987
2014/12/20,329.955994
2014/12/21,320.842987
2014/12/22,331.885986
2014/12/23,334.571991
2014/12/24,322.533997
2014/12/25,319.007996
2014/12/26,327.924011
2014/12/27,315.863007
2014/12/28,317.239014
2014/12/29,312.670013
2014/12/30,310.737
2014/12/31,320.192993
2015/1/1,314.248993
2015/1/2,315.032013
2015/1/3,281.082001
2015/1/4,264.195007
2015/1/5,274.473999
2015/1/6,286.188995
2015/1/7,294.337006
2015/1/8,283.348999
2015/1/9,290.40799
2015/1/10,274.79599
2015/1/11,265.660004
2015/1/12,267.79599
2015/1/13,225.860992
2015/1/14,178.102997
2015/1/15,209.843994
2015/1/16,208.097
2015/1/17,199.259995
2015/1/18,210.339005
2015/1/19,214.860992
2015/1/20,211.315002
2015/1/21,226.897003
2015/1/22,233.406006
2015/1/23,232.878998
2015/1/24,247.847
2015/1/25,253.718002
2015/1/26,273.472992
2015/1/27,263.475006
2015/1/28,233.914993
2015/1/29,233.513
2015/1/30,226.425003
2015/1/31,217.464005
2015/2/1,226.972
2015/2/2,238.229004
2015/2/3,227.268005
2015/2/4,226.852997
2015/2/5,217.110992
2015/2/6,222.266006
2015/2/7,227.753998
2015/2/8,223.412003
2015/2/9,220.110001
2015/2/10,219.839005
2015/2/11,219.184998
2015/2/12,221.764008
2015/2/13,235.427002
2015/2/14,257.321014
2015/2/15,234.824997
2015/2/16,233.843002
2015/2/17,243.610001
2015/2/18,236.326004
2015/2/19,240.283005
2015/2/20,243.779007
2015/2/21,244.533997
