Date,Open,High,Low,Close,Adj Close
2014/9/17,465.864014,468.174011,452.421997,457.334015,457.334015
2014/9/18,456.859985,456.859985,413.104004,424.440002,424.440002
2014/9/19,424.102997,427.834991,384.532013,394.79599,394.79599
2014/9/20,394.673004,423.29599,389.882996,408.903992,408.903992
2014/9/21,408.084991,412.425995,393.181,398.821014,398.821014
2014/9/22,399.100006,406.915985,397.130005,402.152008,402.152008
2014/9/23,402.09201,441.557007,396.196991,435.790985,435.790985
2014/9/24,435.751007,436.112,421.131989,423.204987,423.204987
2014/9/25,423.156006,423.519989,409.467987,411.574005,411.574005
2014/9/26,411.428986,414.937988,400.009003,404.424988,404.424988
2014/9/27,403.556,406.622986,397.372009,399.519989,399.519989
2014/9/28,399.471008,401.016998,374.332001,377.181,377.181
2014/9/29,376.928009,385.210999,372.23999,375.46701,375.46701
2014/9/30,376.088013,390.97699,373.442993,386.944,386.944
2014/10/1,387.427002,391.378998,380.779999,383.61499,383.61499
2014/10/2,383.988007,385.497009,372.946014,375.071991,375.071991
2014/10/3,375.181,377.695007,357.859009,359.511993,359.511993
2014/10/4,359.891998,364.487,325.885986,328.865997,328.865997
2014/10/5,328.915985,341.800995,289.29599,320.51001,320.51001
2014/10/6,320.389008,345.134003,302.559998,330.07901,330.07901
2014/10/7,330.584015,339.247009,320.481995,336.187012,336.187012
2014/10/8,336.115997,354.364014,327.187988,352.940002,352.940002
2014/10/9,352.747986,382.726013,347.687012,365.026001,365.026001
2014/10/10,364.687012,375.066986,352.963013,361.562012,361.562012
2014/10/11,361.362,367.19101,355.950989,362.299011,362.299011
2014/10/12,362.605988,379.433014,356.144012,378.549011,378.549011
2014/10/13,377.92099,397.226013,368.897003,390.414001,390.414001
2014/10/14,391.691986,411.697998,391.324005,400.869995,400.869995
2014/10/15,400.954987,402.22699,388.765991,394.77301,394.77301
2014/10/16,394.518005,398.807007,373.070007,382.556,382.556
2014/10/17,382.756012,385.477997,375.389008,383.757996,383.757996
2014/10/18,383.976013,395.15799,378.971008,391.441986,391.441986
2014/10/19,391.253998,393.938995,386.457001,389.54599,389.54599
2014/10/20,389.230988,390.084015,378.252014,382.845001,382.845001
2014/10/21,382.42099,392.645996,380.834015,386.475006,386.475006
2014/10/22,386.118011,388.575989,382.248993,383.15799,383.15799
2014/10/23,382.962006,385.048004,356.446991,358.416992,358.416992
2014/10/24,358.591003,364.345001,353.304993,358.345001,358.345001
2014/10/25,358.610992,359.860992,342.877014,347.270996,347.270996
2014/10/26,347.487,359.221008,343.931,354.70401,354.70401
2014/10/27,354.777008,358.631989,349.80899,352.989014,352.989014
2014/10/28,353.214996,359.984009,352.678986,357.618011,357.618011
2014/10/29,357.088989,357.833008,335.342987,335.591003,335.591003
2014/10/30,335.709015,350.912994,335.071991,345.304993,345.304993
2014/10/31,345.009003,348.045013,337.141998,338.321014,338.321014
2014/11/1,338.649994,340.528992,321.054993,325.748993,325.748993
2014/11/2,326.075012,329.049988,320.626007,325.891998,325.891998
2014/11/3,325.569,334.002014,325.480988,327.553986,327.553986
2014/11/4,327.161011,331.766998,325.076996,330.492004,330.492004
2014/11/5,330.683014,343.368988,330.683014,339.485992,339.485992
2014/11/6,339.458008,352.966003,338.424011,349.290009,349.290009
2014/11/7,349.817993,352.731995,341.776001,342.415009,342.415009
2014/11/8,342.153992,347.032013,342.153992,345.488007,345.488007
2014/11/9,345.376007,363.626007,344.255005,363.264008,363.264008
2014/11/10,362.265015,374.81601,357.561005,366.924011,366.924011
2014/11/11,365.856995,371.309998,363.734985,367.695007,367.695007
2014/11/12,367.984985,429.717987,367.984985,423.561005,423.561005
2014/11/13,427.27301,457.092987,401.122986,420.734985,420.734985
2014/11/14,418.416992,419.252014,384.789001,397.817993,397.817993
2014/11/15,399.649994,405.528015,371.007996,376.132996,376.132996
2014/11/16,374.730011,390.799011,374.60199,387.881989,387.881989
