text,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,is_reply_to_user,related_user_id,,,
"New episode with @nic__carter just dropped 🔥

- Bitcoin mining FUD
- ESG concerns
- Free speech
- Political posturing
- Twitter
- Elon Musk

Don't miss this one. Listen: https://t.co/59LiRtA6mU

https://t.co/l1HsDxyDiI",1522207784728674304,2022-05-05T13:33:11.000Z,46,74,260,2,0,339061487
Bitcoin is concerned with the IMF 😉 https://t.co/nAG48IIyus,1522016088908865536,2022-05-05T00:51:27.000Z,82,105,807,4,0,339061487
"Fairfax County Police and Employee pension plans continue to be pioneers in the institutional asset management industry.

They have 8% of their total assets in bitcoin and crypto. 

CIOs Katherine Molnar and Andy Spellar simply get it. 

https://t.co/kGDLSddu4p",1521841806509580288,2022-05-04T13:18:55.000Z,35,63,221,1,0,339061487
The largest media outlet in the world is beginning to understand #bitcoin ⚡️ https://t.co/t6y4wqPe6L,1521633416990625794,2022-05-03T23:30:51.000Z,728,232,4604,55,0,339061487
"Too much intellectual capital is flowing into bitcoin and crypto.

It can’t be ignored.  https://t.co/dO4uW8VlFa",1521491811218468864,2022-05-03T14:08:10.000Z,636,252,2954,86,0,339061487
"I'm a long term bull. 

I’m bullish on technology, I’m bullish on the United States, and I’m bullish on bitcoin.",1521141170222645248,2022-05-02T14:54:51.000Z,513,848,6330,61,0,339061487
"This letter from the Bitcoin Community to the EPA regarding bitcoin mining and energy consumption is worth reading.

The truth ultimately prevails in these scenarios. 

https://t.co/PNr3emlnzU",1521108013922279424,2022-05-02T12:43:05.000Z,78,105,489,4,0,339061487
"More people are realizing that bitcoin is not a risk asset, which is why tech stocks continue to sell off more than the digital sound money in a risk off environment.",1520890371080962049,2022-05-01T22:18:15.000Z,85,123,870,8,0,339061487
"Charlie Munger says bitcoin is “evil.”

This coming from a guy who financed the drivers of rampant obesity and diabetes in American society. 

I’ll take math and software over processed sugar.",1520524717425414144,2022-04-30T22:05:17.000Z,905,531,8617,65,0,339061487
"Stat of the day:

Nasdaq is down more than bitcoin year-to-date.

(H/t @krugermacro)",1520235155444875264,2022-04-30T02:54:40.000Z,115,172,971,9,0,339061487
"“Bitcoin has transitioned from a contrarian idea to a consensus trade on Wall Street. Banks and financial institutions are realizing that Bitcoin is good for business."" 

https://t.co/zpM3lEOcpZ",1520201110354644992,2022-04-30T00:39:23.000Z,76,79,391,3,0,339061487
"98% of retirement accounts in the US can’t access #Bitcoin.

That’s $39,400,000,000,000.

What happens when they do? 👇🏼",1520187064968523800,2022-04-29T23:43:34.000Z,448,421,4076,34,0,339061487
"The fastest growing industry in the world is the bitcoin and crypto market.

There are hundreds of open roles at the top companies.

Come help build the future.

APPLY: https://t.co/EaWrk2lCb3",1520069981442134018,2022-04-29T15:58:19.000Z,44,123,316,4,0,339061487
